,estimate,std_err,ci_lower,ci_upper,p_value
const,3.4146609650753375,0.25983310432440415,2.905267200005601,3.924054730145074,8.99346050452775e-39
median_household_income,-2.6844908038345486e-05,1.1843583013752494e-06,-2.9166801300937246e-05,-2.4523014775753726e-05,4.524690067145968e-108
emp_rate,3.5615061802379007,0.25799428168222704,3.05571736301124,4.067294997464561,1.578907449464504e-42
share_young_21_34,-4.354388566837407,0.2743579297747723,-4.892257747087137,-3.816519386587678,2.6192449840312597e-55
share_older_55_plus,-7.751646294154416,0.2730249588636984,-8.286902231288394,-7.2163903570204395,6.972891190869071e-164
stores_per_1k_21plus,0.3290576856676343,0.034839291367789516,0.26075646651257745,0.3973589048226912,5.431805070249723e-21
year_c,0.012686677574501124,0.004957943585509676,0.0029668015925979254,0.02240655355640432,0.010532466594236168
month_2,0.02676831032474658,0.0246074887785812,-0.021473815675421705,0.07501043632491486,0.27673369173892814
month_3,0.07659246678803554,0.02460730617571281,0.028350698774440533,0.12483423480163054,0.0018655884412216584
month_4,0.12032720116282503,0.024607678512938724,0.07208470319504702,0.16856969913060305,1.0426778192642204e-06
month_5,0.19192144453446183,0.024611537934335664,0.1436713803052504,0.24017150876367327,7.680134083250367e-15
month_6,0.17422743985507952,0.024617672449812507,0.1259653491216097,0.22248953058854934,1.6849678583689799e-12
month_7,0.11507397558835507,0.024612688967763523,0.06682165479813666,0.1633262963785735,3.0154883901173236e-06
month_8,0.1737142410898246,0.024617452276052457,0.1254525819993546,0.22197590018029462,1.9540279043126526e-12
month_9,0.10367733990885289,0.024618461009364462,0.05541370323180441,0.15194097658590136,2.5854621115014313e-05
month_10,0.19460614470481394,0.024618119636051334,0.14634317727827426,0.24286911213135362,3.308602667698812e-15
month_11,0.1547576122810561,0.024619756587812344,0.10649143566751561,0.2030237888945966,3.5524388049006023e-10
month_12,0.19657312041195057,0.024633988348127592,0.14827904292723584,0.2448671978966653,1.8250067589372788e-15
