fold,term,estimate
0,const,2.6670597450152504
0,median_household_income,-2.2758266700901904e-05
0,emp_rate,2.39024655241624
0,share_young_21_34,-2.8506189750262254
0,share_older_55_plus,-5.795333584566823
0,stores_per_1k_21plus,0.25846187862858805
0,year_c,0.00872327920473917
0,month_2,0.03217185913955828
0,month_3,0.0704188590524004
0,month_4,0.1207015427871852
0,month_5,0.19651842005727038
0,month_6,0.17408645327493177
0,month_7,0.1220502476460202
0,month_8,0.18434484239465831
0,month_9,0.11086220056010429
0,month_10,0.18373883591694884
0,month_11,0.16840703942914095
0,month_12,0.2034331247452273
1,const,2.8441937154521035
1,median_household_income,-2.6642655518708833e-05
1,emp_rate,4.048002131218787
1,share_young_21_34,-4.1160814523201275
1,share_older_55_plus,-7.122550833573054
1,stores_per_1k_21plus,0.23613703919093476
1,year_c,0.01539458960084827
1,month_2,0.015086388317892885
1,month_3,0.06770869821152
1,month_4,0.1175236036173039
1,month_5,0.1898749832710773
1,month_6,0.17363804313327402
1,month_7,0.10394316469429431
1,month_8,0.17426775689948498
1,month_9,0.10101985748118843
1,month_10,0.19779924493770754
1,month_11,0.15280003766330078
1,month_12,0.19238186114704212
2,const,3.2141367751070398
2,median_household_income,-2.5184337578778436e-05
2,emp_rate,3.2259100598176955
2,share_young_21_34,-3.7004978684937866
2,share_older_55_plus,-7.558933699537516
2,stores_per_1k_21plus,0.400916384824919
2,year_c,0.008876174030320174
2,month_2,0.03075090748400633
2,month_3,0.08033580666884811
2,month_4,0.12042841091294693
2,month_5,0.1923660986775896
2,month_6,0.17749730005947775
2,month_7,0.1190160667864806
2,month_8,0.17157021844179932
2,month_9,0.10261066358053576
2,month_10,0.19809260834504394
2,month_11,0.15068286632906158
2,month_12,0.19844722252865885
3,const,5.204428272236267
3,median_household_income,-3.279693479236748e-05
3,emp_rate,3.3997633500981426
3,share_young_21_34,-6.006667412491407
3,share_older_55_plus,-9.580420000098496
3,stores_per_1k_21plus,0.26122052674710217
3,year_c,0.023620550748654122
3,month_2,0.02569383792690111
3,month_3,0.08391737077797395
3,month_4,0.12575814656068723
3,month_5,0.18770808147482299
3,month_6,0.1758664902216444
3,month_7,0.10870893125856816
3,month_8,0.17487000811452222
3,month_9,0.1057503863853158
3,month_10,0.19964878970583544
3,month_11,0.15516989191887195
3,month_12,0.19972220506082988
4,const,2.1735484649559313
4,median_household_income,-2.248182139920014e-05
4,emp_rate,4.148527829846222
4,share_young_21_34,-3.5345912863244306
4,share_older_55_plus,-7.134047000065403
4,stores_per_1k_21plus,0.42279434896298246
4,year_c,0.0018061385992859842
4,month_2,0.0315686188185888
4,month_3,0.07929933363298644
4,month_4,0.1170453971435364
4,month_5,0.19533994160889825
4,month_6,0.17104018487437514
4,month_7,0.1252408077230172
4,month_8,0.16607485047038167
4,month_9,0.10037174349269257
4,month_10,0.1924614251925527
4,month_11,0.1505165757756668
4,month_12,0.1917274248558648
